baton-rouge Jan 27, 2011 438 $10 $20 $10
baton-rouge Jan 25, 2011 206 $25 $90 $65
baton-rouge Jan 21, 2011 305 $20 $40 $20
baton-rouge Jan 18, 2011 640 $23 $47 $24
baton-rouge Nov 05, 2010 204 $40 $89 $49
baton-rouge Nov 03, 2010 497 $5 $10 $5
baton-rouge Oct 29, 2010 360 $50 $144 $94
baton-rouge Sep 28, 2010 257 $35 $80 $45
baton-rouge Sep 27, 2010 262 $15 $30 $15
cedar-rapids-iowa-city Jan 07, 2011 493 $6 $12 $6
cedar-rapids-iowa-city Jan 04, 2011 405 $10 $20 $10
cedar-rapids-iowa-city Dec 29, 2010 100 $7 $15 $8
cedar-rapids-iowa-city Dec 28, 2010 350 $7 $15 $8
cedar-rapids-iowa-city Dec 20, 2010 155 $9 $18 $9
cedar-rapids-iowa-city Dec 14, 2010 123 $25 $50 $25
cedar-rapids-iowa-city Dec 07, 2010 450 $15 $50 $35
cedar-rapids-iowa-city Dec 01, 2010 124 $10 $20 $10
cedar-rapids-iowa-city Nov 24, 2010 70 $5 $10 $5
cedar-rapids-iowa-city Nov 17, 2010 173 $20 $40 $20
cedar-rapids-iowa-city Nov 15, 2010 268 $39 $100 $61
cedar-rapids-iowa-city Nov 12, 2010 209 $30 $60 $30
cedar-rapids-iowa-city Nov 11, 2010 26 $47 $105 $58
cedar-rapids-iowa-city Nov 10, 2010 206 $10 $20 $10
cedar-rapids-iowa-city Nov 09, 2010 23 $10 $20 $10
cedar-rapids-iowa-city Nov 08, 2010 32 $40 $80 $40
cedar-rapids-iowa-city Nov 05, 2010 192 $7 $15 $8
cedar-rapids-iowa-city Nov 04, 2010 56 $6 $12 $6
cedar-rapids-iowa-city Nov 02, 2010 59 $20 $50 $30
cedar-rapids-iowa-city Nov 01, 2010 16 $29 $60 $31
cedar-rapids-iowa-city Oct 26, 2010 40 $7 $15 $8
cedar-rapids-iowa-city Oct 25, 2010 25 $3 $6 $3
cedar-rapids-iowa-city Oct 22, 2010 166 $10 $20 $10
